scenario,policy,rep,epoch,epoch_cost,cumulative_regret
baseline,robust,0,0,4973.99,-94027.43
baseline,adaptive,0,0,4234.24,-94767.18
baseline,robust,0,1,11988.84,-82038.59
baseline,adaptive,0,1,11912.73,-82854.45
baseline,robust,0,2,22027.24,-60011.35
baseline,adaptive,0,2,21705.75,-61148.7
baseline,robust,0,3,24812.91,-35198.44
baseline,adaptive,0,3,22723.71,-38424.99
baseline,robust,0,4,16748.31,-18450.13
baseline,adaptive,0,4,15967.25,-22457.73
baseline,robust,0,5,51273.14,32823.02
baseline,adaptive,0,5,42235.55,19777.82
baseline,robust,1,0,6166.73,-84488.59
baseline,adaptive,1,0,5591.79,-85063.53
baseline,robust,1,1,5124.23,-79364.36
baseline,adaptive,1,1,4468.37,-80595.16
baseline,robust,1,2,16624.94,-62739.41
baseline,adaptive,1,2,15288.19,-65306.97
baseline,robust,1,3,13304.08,-49435.33
baseline,adaptive,1,3,13193.34,-52113.63
baseline,robust,1,4,8277.91,-41157.42
baseline,adaptive,1,4,8317.48,-43796.15
baseline,robust,1,5,51026.17,9868.74
baseline,adaptive,1,5,50815.91,7019.76
baseline,robust,2,0,6593.95,-81881.09
baseline,adaptive,2,0,4581.55,-83893.49
baseline,robust,2,1,14363.04,-67518.05
baseline,adaptive,2,1,14017.16,-69876.33
baseline,robust,2,2,15793.11,-51724.93
baseline,adaptive,2,2,16399.93,-53476.4
baseline,robust,2,3,15498.84,-36226.1
baseline,adaptive,2,3,16394.99,-37081.4
baseline,robust,2,4,11627.47,-24598.63
baseline,adaptive,2,4,12306.77,-24774.64
baseline,robust,2,5,38075.5,13476.87
baseline,adaptive,2,5,28941.98,4167.35
baseline,robust,3,0,2472.16,-85505.2
baseline,adaptive,3,0,2200.65,-85776.71
baseline,robust,3,1,12248.64,-73256.56
baseline,adaptive,3,1,11014.75,-74761.96
baseline,robust,3,2,19309.31,-53947.25
baseline,adaptive,3,2,18338.5,-56423.46
baseline,robust,3,3,21200.69,-32746.55
baseline,adaptive,3,3,20096.6,-36326.86
baseline,robust,3,4,12545.28,-20201.27
baseline,adaptive,3,4,11822.83,-24504.03
baseline,robust,3,5,24922.99,4721.72
baseline,adaptive,3,5,19688.22,-4815.8
baseline,robust,4,0,4709.28,-76748.09
baseline,adaptive,4,0,3595.33,-77862.04
baseline,robust,4,1,10504.16,-66243.92
baseline,adaptive,4,1,10570.03,-67292.01
baseline,robust,4,2,16079.9,-50164.02
baseline,adaptive,4,2,15533.96,-51758.05
baseline,robust,4,3,15175.67,-34988.36
baseline,adaptive,4,3,15596.07,-36161.99
baseline,robust,4,4,12241.33,-22747.03
baseline,adaptive,4,4,12184.95,-23977.04
baseline,robust,4,5,41190.82,18443.8
baseline,adaptive,4,5,31000.3,7023.26
baseline,robust,5,0,2859.06,-95238.62
baseline,adaptive,5,0,2657.25,-95440.43
baseline,robust,5,1,11256.81,-83981.81
baseline,adaptive,5,1,10445.31,-84995.11
baseline,robust,5,2,17887.49,-66094.32
baseline,adaptive,5,2,17636.35,-67358.77
baseline,robust,5,3,18243.83,-47850.49
baseline,adaptive,5,3,17271.71,-50087.06
baseline,robust,5,4,25038.6,-22811.89
baseline,adaptive,5,4,15595.07,-34491.98
baseline,robust,5,5,72144.0,49332.11
baseline,adaptive,5,5,67801.8,33309.82
baseline,robust,6,0,8299.07,-72175.66
baseline,adaptive,6,0,6732.59,-73742.13
baseline,robust,6,1,7973.08,-64202.57
baseline,adaptive,6,1,7920.84,-65821.3
baseline,robust,6,2,16796.45,-47406.12
baseline,adaptive,6,2,16824.68,-48996.62
baseline,robust,6,3,15213.51,-32192.61
baseline,adaptive,6,3,16976.54,-32020.08
baseline,robust,6,4,19436.45,-12756.16
baseline,adaptive,6,4,20473.7,-11546.38
baseline,robust,6,5,40992.0,28235.84
baseline,adaptive,6,5,40992.0,29445.62
baseline,robust,7,0,2588.77,-83345.49
baseline,adaptive,7,0,2421.08,-83513.17
baseline,robust,7,1,10116.93,-73228.56
baseline,adaptive,7,1,8953.39,-74559.78
baseline,robust,7,2,15805.55,-57423.0
baseline,adaptive,7,2,15972.39,-58587.39
baseline,robust,7,3,19232.33,-38190.68
baseline,adaptive,7,3,18429.99,-40157.4
baseline,robust,7,4,17586.43,-20604.25
baseline,adaptive,7,4,17274.34,-22883.07
baseline,robust,7,5,33544.44,12940.19
baseline,adaptive,7,5,28740.04,5856.97
baseline,robust,8,0,7983.32,-78476.79
baseline,adaptive,8,0,6373.32,-80086.79
baseline,robust,8,1,12360.18,-66116.62
baseline,adaptive,8,1,12400.13,-67686.67
baseline,robust,8,2,18472.39,-47644.23
baseline,adaptive,8,2,18133.65,-49553.02
baseline,robust,8,3,18689.81,-28954.42
baseline,adaptive,8,3,18460.23,-31092.79
baseline,robust,8,4,9067.31,-19887.11
baseline,adaptive,8,4,8943.96,-22148.83
baseline,robust,8,5,50710.3,30823.19
baseline,adaptive,8,5,46414.14,24265.31
baseline,robust,9,0,4220.47,-82010.03
baseline,adaptive,9,0,3778.41,-82452.09
baseline,robust,9,1,14076.45,-67933.58
baseline,adaptive,9,1,13111.95,-69340.14
baseline,robust,9,2,16085.08,-51848.5
baseline,adaptive,9,2,15334.83,-54005.31
baseline,robust,9,3,17507.92,-34340.58
baseline,adaptive,9,3,17647.66,-36357.65
baseline,robust,9,4,10696.0,-23644.58
baseline,adaptive,9,4,10743.19,-25614.46
baseline,robust,9,5,61224.48,37579.9
baseline,adaptive,9,5,43102.89,17488.43
baseline,robust,10,0,2382.74,-71393.02
baseline,adaptive,10,0,2166.01,-71609.76
baseline,robust,10,1,2476.05,-68916.97
baseline,adaptive,10,1,1994.9,-69614.86
baseline,robust,10,2,15379.16,-53537.81
baseline,adaptive,10,2,14881.45,-54733.41
baseline,robust,10,3,20933.65,-32604.16
baseline,adaptive,10,3,19740.34,-34993.07
baseline,robust,10,4,14014.68,-18589.48
baseline,adaptive,10,4,11950.25,-23042.81
baseline,robust,10,5,44349.09,25759.6
baseline,adaptive,10,5,39241.39,16198.58
baseline,robust,11,0,2168.31,-100166.26
baseline,adaptive,11,0,2036.84,-100297.73
baseline,robust,11,1,8487.41,-91678.85
baseline,adaptive,11,1,6850.27,-93447.47
baseline,robust,11,2,17856.08,-73822.77
