scenario,policy,rep,total_cost,V_star,regret,detect_delay,false_alarm,n_patients
baseline,robust,0,131824.43,99001.42,32823.02,,,488
baseline,adaptive,0,118779.24,99001.42,19777.82,,0.0,488
baseline,robust,1,100524.06,90655.32,9868.74,,,454
baseline,adaptive,1,97675.08,90655.32,7019.76,,0.0,454
baseline,robust,2,101951.91,88475.04,13476.87,,,487
baseline,adaptive,2,92642.38,88475.04,4167.35,,0.0,487
baseline,robust,3,92699.08,87977.36,4721.72,,,494
baseline,adaptive,3,83161.56,87977.36,-4815.8,,0.0,494
baseline,robust,4,99901.16,81457.36,18443.8,,,475
baseline,adaptive,4,88480.62,81457.36,7023.26,,0.0,475
baseline,robust,5,147429.79,98097.67,49332.11,,,499
baseline,adaptive,5,131407.49,98097.67,33309.82,,0.0,499
baseline,robust,6,108710.56,80474.72,28235.84,,,458
baseline,adaptive,6,109920.34,80474.72,29445.62,,0.0,458
baseline,robust,7,98874.45,85934.26,12940.19,,,487
baseline,adaptive,7,91791.23,85934.26,5856.97,,0.0,487
baseline,robust,8,117283.3,86460.11,30823.19,,,471
baseline,adaptive,8,110725.42,86460.11,24265.31,,0.0,471
baseline,robust,9,123810.4,86230.5,37579.9,,,490
baseline,adaptive,9,103718.93,86230.5,17488.43,,0.0,490
baseline,robust,10,99535.37,73775.76,25759.6,,,475
baseline,adaptive,10,89974.34,73775.76,16198.58,,0.0,475
baseline,robust,11,141833.79,102334.57,39499.22,,,445
baseline,adaptive,11,134564.75,102334.57,32230.17,,0.0,445
baseline,robust,12,110948.98,86312.83,24636.16,,,486
baseline,adaptive,12,108268.61,86312.83,21955.78,,0.0,486
baseline,robust,13,105988.56,87462.09,18526.47,,,484
baseline,adaptive,13,96401.82,87462.09,8939.73,,0.0,484
baseline,robust,14,121526.61,91601.43,29925.18,,,486
baseline,adaptive,14,115319.29,91601.43,23717.86,,0.0,486
baseline,robust,15,165593.77,106263.59,59330.17,,,452
baseline,adaptive,15,157496.08,106263.59,51232.49,,0.0,452
baseline,robust,16,115840.72,91282.74,24557.98,,,468
baseline,adaptive,16,108501.17,91282.74,17218.44,,0.0,468
baseline,robust,17,169588.29,110229.34,59358.96,,,478
baseline,adaptive,17,162818.62,110229.34,52589.28,,0.0,478
baseline,robust,18,176685.28,105165.28,71520.0,,,490
baseline,adaptive,18,154437.79,105165.28,49272.51,,0.0,490
baseline,robust,19,127632.54,93144.99,34487.54,,,486
baseline,adaptive,19,116884.92,93144.99,23739.92,,0.0,486
baseline,robust,20,82219.99,77912.66,4307.33,,,485
baseline,adaptive,20,88700.79,77912.66,10788.13,,0.0,485
baseline,robust,21,102720.56,79431.46,23289.1,,,476
baseline,adaptive,21,90187.48,79431.46,10756.03,,0.0,476
baseline,robust,22,134833.67,104731.98,30101.69,,,506
baseline,adaptive,22,118332.45,104731.98,13600.47,,0.0,506
baseline,robust,23,171922.27,123937.58,47984.69,,,506
baseline,adaptive,23,166259.74,123937.58,42322.16,,0.0,506
baseline,robust,24,69965.18,80570.39,-10605.2,,,445
baseline,adaptive,24,67386.17,80570.39,-13184.22,,0.0,445
baseline,robust,25,108574.01,81615.7,26958.31,,,476
baseline,adaptive,25,97044.8,81615.7,15429.11,,0.0,476
baseline,robust,26,101279.97,85492.68,15787.29,,,477
baseline,adaptive,26,94401.38,85492.68,8908.7,,0.0,477
baseline,robust,27,162011.43,106501.19,55510.24,,,458
baseline,adaptive,27,151600.66,106501.19,45099.47,,0.0,458
baseline,robust,28,160504.85,94851.86,65652.99,,,465
baseline,adaptive,28,144042.5,94851.86,49190.64,,0.0,465
baseline,robust,29,141306.77,95752.35,45554.42,,,483
baseline,adaptive,29,129300.13,95752.35,33547.78,,0.0,483
flash_flood,robust,0,292962.34,230965.54,61996.79,,,721
flash_flood,adaptive,0,282653.41,230965.54,51687.87,1.0,,721
flash_flood,robust,1,251017.04,208687.5,42329.55,,,682
flash_flood,adaptive,1,239197.78,208687.5,30510.29,2.0,,682
flash_flood,robust,2,276396.67,239688.1,36708.56,,,719
flash_flood,adaptive,2,271856.0,239688.1,32167.9,1.0,,719
flash_flood,robust,3,267943.07,203151.65,64791.42,,,713
flash_flood,adaptive,3,249523.63,203151.65,46371.99,1.0,,713
flash_flood,robust,4,251370.71,188603.4,62767.31,,,707
flash_flood,adaptive,4,243583.47,188603.4,54980.06,1.0,,707
flash_flood,robust,5,268090.44,208450.15,59640.29,,,706
flash_flood,adaptive,5,256044.6,208450.15,47594.46,1.0,,706
flash_flood,robust,6,264846.0,210143.67,54702.33,,,696
flash_flood,adaptive,6,263952.42,210143.67,53808.75,2.0,,696
flash_flood,robust,7,279936.84,213536.81,66400.03,,,702
flash_flood,adaptive,7,273745.34,213536.81,60208.53,1.0,,702
flash_flood,robust,8,298645.2,240223.34,58421.86,,,715
flash_flood,adaptive,8,288996.19,240223.34,48772.85,1.0,,715
flash_flood,robust,9,289099.56,237262.37,51837.19,,,725
flash_flood,adaptive,9,271171.5,237262.37,33909.14,1.0,,725
flash_flood,robust,10,215601.11,159693.24,55907.87,,,690
flash_flood,adaptive,10,207427.05,159693.24,47733.81,1.0,,690
flash_flood,robust,11,295050.01,266691.2,28358.81,,,687
flash_flood,adaptive,11,288738.06,266691.2,22046.86,2.0,,687
flash_flood,robust,12,273035.23,221375.86,51659.37,,,713
flash_flood,adaptive,12,267145.97,221375.86,45770.11,1.0,,713
flash_flood,robust,13,280837.58,208616.73,72220.85,,,715
flash_flood,adaptive,13,265859.59,208616.73,57242.87,1.0,,715
flash_flood,robust,14,301207.29,246061.12,55146.17,,,750
flash_flood,adaptive,14,296381.62,246061.12,50320.5,1.0,,750
flash_flood,robust,15,300233.58,251085.57,49148.01,,,715
flash_flood,adaptive,15,292719.85,251085.57,41634.28,1.0,,715
flash_flood,robust,16,280143.04,241702.74,38440.31,,,696
flash_flood,adaptive,16,271625.09,241702.74,29922.36,1.0,,696
flash_flood,robust,17,273156.19,221948.8,51207.39,,,721
flash_flood,adaptive,17,266711.47,221948.8,44762.66,1.0,,721
flash_flood,robust,18,317065.42,258059.92,59005.5,,,744
flash_flood,adaptive,18,298607.75,258059.92,40547.83,1.0,,744
flash_flood,robust,19,269366.86,201683.86,67682.99,,,731
flash_flood,adaptive,19,260128.03,201683.86,58444.17,1.0,,731
flash_flood,robust,20,245580.31,189250.09,56330.22,,,754
flash_flood,adaptive,20,234978.22,189250.09,45728.12,0.0,,754
flash_flood,robust,21,277134.24,231937.19,45197.05,,,710
flash_flood,adaptive,21,267414.92,231937.19,35477.73,1.0,,710
flash_flood,robust,22,303165.22,259782.0,43383.23,,,755
flash_flood,adaptive,22,296061.02,259782.0,36279.02,1.0,,755
flash_flood,robust,23,290878.43,232564.38,58314.05,,,743
flash_flood,adaptive,23,285272.42,232564.38,52708.03,0.0,,743
flash_flood,robust,24,213917.29,162034.19,51883.1,,,703
flash_flood,adaptive,24,201793.78,162034.19,39759.6,2.0,,703
flash_flood,robust,25,256438.71,192539.75,63898.96,,,703
flash_flood,adaptive,25,248251.94,192539.75,55712.19,1.0,,703
flash_flood,robust,26,212455.96,169767.31,42688.65,,,724
flash_flood,adaptive,26,208734.12,169767.31,38966.81,1.0,,724
flash_flood,robust,27,337352.31,292586.83,44765.48,,,676
flash_flood,adaptive,27,327831.02,292586.83,35244.2,2.0,,676
flash_flood,robust,28,312164.97,239906.9,72258.07,,,731
flash_flood,adaptive,28,298100.04,239906.9,58193.14,1.0,,731
flash_flood,robust,29,283728.74,242620.11,41108.62,,,748
flash_flood,adaptive,29,272270.48,242620.11,29650.36,2.0,,748
creeping_crisis,robust,0,513872.8,470744.89,43127.92,,,1017
creeping_crisis,adaptive,0,512142.87,470744.89,41397.98,4.0,,1017
creeping_crisis,robust,1,401644.85,366209.73,35435.12,,,982
creeping_crisis,adaptive,1,394205.43,366209.73,27995.7,6.0,,982
creeping_crisis,robust,2,432805.03,402781.02,30024.01,,,1000
creeping_crisis,adaptive,2,423762.64,402781.02,20981.62,4.0,,1000
creeping_crisis,robust,3,432637.38,373618.1,59019.28,,,990
creeping_crisis,adaptive,3,423236.58,373618.1,49618.49,5.0,,990
creeping_crisis,robust,4,399892.51,362694.96,37197.55,,,994
creeping_crisis,adaptive,4,396851.28,362694.96,34156.31,5.0,,994
creeping_crisis,robust,5,492977.26,435424.92,57552.35,,,992
